clustering_algo,num_visual_words,preprocess,classifier,best_cv_score
kmeans,50,std_scaler,gaussian_nb,0.4405
kmeans,55,std_scaler,gaussian_nb,0.4548
kmeans,60,std_scaler,gaussian_nb,0.4328
kmeans,65,std_scaler,gaussian_nb,0.455
kmeans,70,std_scaler,gaussian_nb,0.469
kmeans,75,std_scaler,gaussian_nb,0.4548
kmeans,80,std_scaler,gaussian_nb,0.4765
kmeans,85,std_scaler,gaussian_nb,0.4622
kmeans,90,std_scaler,gaussian_nb,0.4479
kmeans,95,std_scaler,gaussian_nb,0.4696
kmeans,100,std_scaler,gaussian_nb,0.4696
kmeans,105,std_scaler,gaussian_nb,0.4767
kmeans,110,std_scaler,gaussian_nb,0.4622
kmeans,115,std_scaler,gaussian_nb,0.4553
kmeans,120,std_scaler,gaussian_nb,0.469
kmeans,125,std_scaler,gaussian_nb,0.4841
kmeans,130,std_scaler,gaussian_nb,0.4841
kmeans,135,std_scaler,gaussian_nb,0.4918
kmeans,140,std_scaler,gaussian_nb,0.455
kmeans,145,std_scaler,gaussian_nb,0.4772
kmeans,150,std_scaler,gaussian_nb,0.4844
kmeans,155,std_scaler,gaussian_nb,0.469
kmeans,160,std_scaler,gaussian_nb,0.4696
kmeans,165,std_scaler,gaussian_nb,0.4847
kmeans,170,std_scaler,gaussian_nb,0.5063
kmeans,175,std_scaler,gaussian_nb,0.4844
kmeans,180,std_scaler,gaussian_nb,0.4847
kmeans,185,std_scaler,gaussian_nb,0.5063
kmeans,190,std_scaler,gaussian_nb,0.4995
kmeans,195,std_scaler,gaussian_nb,0.5066
kmeans,200,std_scaler,gaussian_nb,0.5069
