clustering_algo,num_visual_words,preprocess,classifier,metric,n_neighbors,weights,best_cv_score
kmeans,50,std_scaler,knn,euclidean,16,distance,0.5362
kmeans,50,tf_idf,knn,manhattan,22,uniform,0.5508
kmeans,55,std_scaler,knn,euclidean,12,uniform,0.5286
kmeans,55,tf_idf,knn,manhattan,6,distance,0.5884
kmeans,60,std_scaler,knn,manhattan,15,distance,0.5439
kmeans,60,tf_idf,knn,manhattan,6,distance,0.5952
kmeans,65,std_scaler,knn,euclidean,14,distance,0.5362
kmeans,65,tf_idf,knn,euclidean,14,uniform,0.5659
kmeans,70,std_scaler,knn,euclidean,13,uniform,0.5217
kmeans,70,tf_idf,knn,euclidean,10,uniform,0.5876
kmeans,75,std_scaler,knn,manhattan,9,uniform,0.5291
kmeans,75,tf_idf,knn,manhattan,10,uniform,0.573
kmeans,80,std_scaler,knn,euclidean,15,uniform,0.5217
kmeans,80,tf_idf,knn,euclidean,10,uniform,0.6177
kmeans,85,std_scaler,knn,manhattan,18,uniform,0.5143
kmeans,85,tf_idf,knn,manhattan,6,distance,0.5878
kmeans,90,std_scaler,knn,euclidean,19,uniform,0.5143
kmeans,90,tf_idf,knn,manhattan,8,uniform,0.5873
kmeans,95,std_scaler,knn,euclidean,15,uniform,0.5286
kmeans,95,tf_idf,knn,manhattan,7,uniform,0.5653
kmeans,100,std_scaler,knn,euclidean,15,distance,0.5212
kmeans,100,tf_idf,knn,euclidean,6,distance,0.5886
kmeans,105,std_scaler,knn,euclidean,13,uniform,0.536
kmeans,105,tf_idf,knn,manhattan,7,uniform,0.6392
kmeans,110,std_scaler,knn,euclidean,21,uniform,0.5288
kmeans,110,tf_idf,knn,manhattan,13,uniform,0.559
kmeans,115,std_scaler,knn,manhattan,14,distance,0.4923
kmeans,115,tf_idf,knn,euclidean,10,uniform,0.573
kmeans,120,std_scaler,knn,euclidean,13,distance,0.514
kmeans,120,tf_idf,knn,manhattan,6,distance,0.5881
kmeans,125,std_scaler,knn,euclidean,15,distance,0.5288
kmeans,125,tf_idf,knn,manhattan,6,distance,0.5653
kmeans,130,std_scaler,knn,manhattan,18,distance,0.5071
kmeans,130,tf_idf,knn,manhattan,6,uniform,0.5725
kmeans,135,std_scaler,knn,euclidean,10,uniform,0.5143
kmeans,135,tf_idf,knn,euclidean,8,distance,0.6024
kmeans,140,std_scaler,knn,euclidean,13,uniform,0.5212
kmeans,140,tf_idf,knn,euclidean,10,uniform,0.5804
kmeans,145,std_scaler,knn,manhattan,13,uniform,0.5066
kmeans,145,tf_idf,knn,manhattan,6,uniform,0.5802
kmeans,150,std_scaler,knn,euclidean,15,distance,0.4992
kmeans,150,tf_idf,knn,manhattan,6,distance,0.5804
kmeans,155,std_scaler,knn,euclidean,22,uniform,0.5
kmeans,155,tf_idf,knn,euclidean,14,distance,0.5661
kmeans,160,std_scaler,knn,euclidean,13,uniform,0.5063
kmeans,160,tf_idf,knn,euclidean,7,uniform,0.6103
kmeans,165,std_scaler,knn,euclidean,15,uniform,0.5212
kmeans,165,tf_idf,knn,manhattan,6,uniform,0.5659
kmeans,170,std_scaler,knn,euclidean,17,uniform,0.5354
kmeans,170,tf_idf,knn,manhattan,6,distance,0.5656
kmeans,175,std_scaler,knn,manhattan,21,uniform,0.5074
kmeans,175,tf_idf,knn,euclidean,7,distance,0.5656
kmeans,180,std_scaler,knn,euclidean,11,distance,0.5214
kmeans,180,tf_idf,knn,euclidean,8,uniform,0.5802
kmeans,185,std_scaler,knn,euclidean,13,uniform,0.5212
kmeans,185,tf_idf,knn,euclidean,7,uniform,0.6101
kmeans,190,std_scaler,knn,euclidean,16,distance,0.5069
kmeans,190,tf_idf,knn,manhattan,8,uniform,0.5876
kmeans,195,std_scaler,knn,euclidean,11,uniform,0.5138
kmeans,195,tf_idf,knn,manhattan,6,uniform,0.6167
kmeans,200,std_scaler,knn,manhattan,13,uniform,0.5071
kmeans,200,tf_idf,knn,euclidean,12,uniform,0.559
