features,num_visual_words,preprocess,classifier,base_estimator__criterion,base_estimator__max_depth,base_estimator__min_samples_split,base_estimator__splitter,learning_rate,n_estimators,best_cv_score
sift,5,std_scaler,adaboost,entropy,8,3,best,1,70,0.4563
sift,5,tf_idf,adaboost,gini,7,4,random,1,30,0.4997
sift,10,std_scaler,adaboost,entropy,5,2,random,0.1,20,0.5077
sift,10,tf_idf,adaboost,gini,9,3,random,0.1,20,0.5815
sift,15,std_scaler,adaboost,gini,7,2,best,0.1,100,0.5577
sift,15,tf_idf,adaboost,entropy,9,3,random,1,30,0.6243
sift,20,std_scaler,adaboost,entropy,9,3,best,1,50,0.5296
sift,20,tf_idf,adaboost,gini,5,3,best,1,120,0.632
sift,25,std_scaler,adaboost,gini,6,2,best,0.1,120,0.5579
sift,25,tf_idf,adaboost,gini,8,4,random,1,150,0.6619
sift,30,std_scaler,adaboost,gini,7,4,random,0.01,10,0.5585
sift,30,tf_idf,adaboost,entropy,10,4,random,0.1,120,0.632
sift,35,std_scaler,adaboost,entropy,9,4,best,1,150,0.5728
sift,35,tf_idf,adaboost,entropy,10,3,random,1,70,0.6468
sift,40,std_scaler,adaboost,gini,10,4,best,0.1,30,0.5876
sift,40,tf_idf,adaboost,entropy,6,3,random,1,120,0.6177
sift,45,std_scaler,adaboost,gini,8,4,random,1,110,0.5579
sift,45,tf_idf,adaboost,gini,5,3,best,1,120,0.6394
sift,50,std_scaler,adaboost,gini,7,4,random,0.01,10,0.5656
sift,50,tf_idf,adaboost,gini,6,4,best,1,30,0.6249
sift,55,std_scaler,adaboost,gini,6,2,best,1,60,0.5505
sift,55,tf_idf,adaboost,entropy,9,4,random,0.01,130,0.6328
sift,60,std_scaler,adaboost,entropy,7,2,best,1,50,0.5868
sift,60,tf_idf,adaboost,entropy,6,4,random,1,100,0.6833
sift,65,std_scaler,adaboost,entropy,6,4,random,0.1,10,0.5878
sift,65,tf_idf,adaboost,entropy,8,4,random,1,30,0.6251
sift,70,std_scaler,adaboost,entropy,7,2,best,1,70,0.5516
sift,70,tf_idf,adaboost,entropy,8,3,random,0.1,40,0.6614
sift,75,std_scaler,adaboost,gini,9,2,random,0.01,10,0.5587
sift,75,tf_idf,adaboost,gini,9,4,random,0.01,50,0.6545
sift,80,std_scaler,adaboost,entropy,6,4,best,1,130,0.5728
sift,80,tf_idf,adaboost,entropy,6,2,random,0.01,60,0.6468
sift,85,std_scaler,adaboost,gini,7,2,random,0.01,10,0.5664
sift,85,tf_idf,adaboost,entropy,5,3,random,0.1,90,0.6177
sift,90,std_scaler,adaboost,entropy,6,2,best,0.01,60,0.5958
sift,90,tf_idf,adaboost,entropy,7,4,best,1,80,0.6386
sift,95,std_scaler,adaboost,gini,9,4,random,0.1,30,0.5878
sift,95,tf_idf,adaboost,gini,5,4,random,0.01,50,0.6111
sift,100,std_scaler,adaboost,entropy,7,3,random,0.01,10,0.5728
sift,100,tf_idf,adaboost,gini,8,3,random,0.01,110,0.6474
sift,105,std_scaler,adaboost,gini,10,4,random,0.01,140,0.5884
sift,105,tf_idf,adaboost,gini,5,4,random,0.01,30,0.6627
sift,110,std_scaler,adaboost,entropy,6,4,random,0.01,70,0.559
sift,110,tf_idf,adaboost,gini,6,4,random,0.01,20,0.6328
sift,115,std_scaler,adaboost,gini,8,3,best,1,50,0.5653
sift,115,tf_idf,adaboost,gini,8,4,random,0.01,150,0.6172
sift,120,std_scaler,adaboost,entropy,9,4,random,0.01,20,0.6026
sift,120,tf_idf,adaboost,gini,10,3,random,0.01,130,0.6325
sift,125,std_scaler,adaboost,entropy,5,2,random,0.01,10,0.5664
sift,125,tf_idf,adaboost,entropy,10,3,random,0.01,80,0.6249
sift,130,std_scaler,adaboost,entropy,10,3,random,0.01,30,0.5881
sift,130,tf_idf,adaboost,gini,5,2,best,0.1,70,0.6108
sift,135,std_scaler,adaboost,entropy,9,4,random,0.01,40,0.61
sift,135,tf_idf,adaboost,gini,8,4,random,0.01,40,0.6627
sift,140,std_scaler,adaboost,gini,7,2,best,0.1,20,0.5947
sift,140,tf_idf,adaboost,gini,5,3,random,1,90,0.6249
sift,145,std_scaler,adaboost,entropy,9,3,best,1,20,0.595
sift,145,tf_idf,adaboost,gini,9,4,random,0.1,20,0.6397
sift,150,std_scaler,adaboost,gini,6,2,random,0.01,30,0.5884
sift,150,tf_idf,adaboost,entropy,8,4,random,1,60,0.6333
sift,155,std_scaler,adaboost,gini,10,4,random,0.01,50,0.6029
sift,155,tf_idf,adaboost,gini,9,4,random,0.1,10,0.618
sift,160,std_scaler,adaboost,entropy,8,4,best,0.1,80,0.6032
sift,160,tf_idf,adaboost,entropy,8,3,best,1,20,0.6243
sift,165,std_scaler,adaboost,entropy,9,3,best,1,80,0.5804
sift,165,tf_idf,adaboost,entropy,6,4,random,0.1,30,0.6243
sift,170,std_scaler,adaboost,gini,9,3,random,0.1,150,0.573
sift,170,tf_idf,adaboost,entropy,8,3,random,1,120,0.6243
sift,175,std_scaler,adaboost,gini,10,4,random,0.01,150,0.5952
sift,175,tf_idf,adaboost,gini,6,3,random,0.01,50,0.6474
sift,180,std_scaler,adaboost,entropy,10,4,random,0.01,50,0.6175
sift,180,tf_idf,adaboost,entropy,6,4,random,0.1,20,0.6542
sift,185,std_scaler,adaboost,gini,6,4,random,0.01,20,0.5738
sift,185,tf_idf,adaboost,entropy,7,2,best,0.1,30,0.6833
sift,190,std_scaler,adaboost,gini,9,4,random,0.01,60,0.6103
sift,190,tf_idf,adaboost,gini,7,4,random,0.01,40,0.6328
sift,195,std_scaler,adaboost,gini,10,4,random,0.1,70,0.573
sift,195,tf_idf,adaboost,entropy,7,4,random,1,90,0.61
sift,200,std_scaler,adaboost,entropy,5,4,best,0.01,100,0.6323
sift,200,tf_idf,adaboost,entropy,7,4,random,0.01,150,0.6468
