clustering_algo,features,num_visual_words,eps,num_clusters,silhouette_score
dbscan,sift,75,0.3,5,0.00484
dbscan,sift,75,0.305,4,0.130056
dbscan,sift,75,0.31,4,0.096218
dbscan,sift,75,0.315,5,0.098974
dbscan,sift,75,0.32,6,0.101464
dbscan,sift,75,0.325,6,0.09923
dbscan,sift,75,0.33,6,0.065492
dbscan,sift,75,0.335,6,-0.099147
dbscan,sift,75,0.34,5,-0.105631
dbscan,sift,75,0.345,4,-0.123353
dbscan,sift,75,0.35,4,-0.130227
dbscan,sift,75,0.355,3,0.021459
dbscan,sift,75,0.36,3,0.024595
dbscan,sift,75,0.365,3,0.01118
dbscan,sift,75,0.37,2,0.033512
dbscan,sift,75,0.375,2,0.033868
dbscan,sift,75,0.38,2,0.045409
dbscan,sift,75,0.385,2,0.025439
dbscan,sift,75,0.39,2,0.031592
dbscan,sift,75,0.395,2,0.007304
dbscan,sift,75,0.4,2,0.012824
dbscan,sift,75,0.405,2,0.02081
dbscan,sift,75,0.41,2,0.031767
dbscan,sift,75,0.415,2,0.031767
dbscan,sift,75,0.42,2,0.033286
dbscan,sift,75,0.425,2,0.033286
dbscan,sift,75,0.43,2,0.039643
dbscan,sift,75,0.435,2,0.045286
dbscan,sift,75,0.44,2,0.06518
dbscan,sift,75,0.445,2,0.06518
dbscan,sift,75,0.45,2,0.114333
dbscan,sift,75,0.455,2,0.114333
dbscan,sift,75,0.46,2,0.114333
dbscan,sift,80,0.3,5,0.031976
dbscan,sift,80,0.305,4,0.074215
dbscan,sift,80,0.31,5,0.06803
dbscan,sift,80,0.315,6,-0.138147
dbscan,sift,80,0.32,6,-0.127829
dbscan,sift,80,0.325,8,-0.103785
dbscan,sift,80,0.33,6,-0.108976
dbscan,sift,80,0.335,5,0.044034
dbscan,sift,80,0.34,3,0.027793
dbscan,sift,80,0.345,3,0.033415
dbscan,sift,80,0.35,3,0.030244
dbscan,sift,80,0.355,3,0.02933
dbscan,sift,80,0.36,3,0.024212
dbscan,sift,80,0.365,3,0.021401
dbscan,sift,80,0.37,3,0.021713
dbscan,sift,80,0.375,3,0.013221
dbscan,sift,80,0.38,3,0.009625
dbscan,sift,80,0.385,2,0.042029
dbscan,sift,80,0.39,2,0.035225
dbscan,sift,80,0.395,2,0.037365
dbscan,sift,80,0.4,2,0.043875
dbscan,sift,80,0.405,2,0.054071
